Order,Length_1,Length_2
802,3,
803,3,
804,3,
805,3,
806,3,
807,3,
808,7,
809,9,
810,11,
811,3,
812,4,
813,4,
814,4,
815,4,
816,4,
817,4,
818,4,
819,4,
820,4,
821,3,
822,5,
823,8,
824,4,
825,4,
826,4,
827,4,
828,4,
829,4,
830,4,
831,4,
832,4,
833,4,
834,4,
835,4,
836,4,
837,4,
838,4,
839,4,
840,4,
841,4,
842,4,
843,4,
844,4,
845,4,
846,4,
847,4,
848,3,
849,5,
850,9,
851,3,
852,3,
853,3,
854,3,
855,3,
856,3,
857,11,
858,10,
859,12,
860,11,
861,13,
862,3,
863,10,
864,11,
865,3,
866,3,
867,3,
868,9,
869,3,
870,8,
871,12,
872,3,
873,3,
874,3,
875,10,
876,11,
877,13,
878,11,
879,3,
880,10,
881,3,
882,11,
883,12,
884,3,
885,7,
886,3,
887,7,
888,3,
889,7,
890,11,
891,11,
892,5,
893,5,
894,3,
895,5,
896,3,
897,3,
898,8,
899,3,
900,8,
901,5,
902,5,
903,10,
904,5,
905,3,
906,5,
907,12,
908,5,
909,10,
910,10,
911,3,
912,6,
913,9,
914,10,
915,3,
916,3,
917,8,
918,3,
919,7,
920,3,
921,7,
922,5,
923,5,
924,8,
925,3,
926,5,
927,8,
928,5,
929,12,
930,12,
931,3,
932,7,
933,7,
934,13,
935,5,
936,5,
937,3,
938,5,
939,12,
940,5,
941,5,
942,12,
943,9,
944,6,
945,5,
946,11,
947,7,
948,11,
949,9,
950,8,
951,8,
952,11,
953,10,
954,10,
955,10,
956,5,
957,8,
958,9,
